NR. DOSAR,DATA ÎNREGISTRĂRII,TERMEN,SOLUȚIE
34076/RD/2016,19.04.2016,,04.11.2016
34093/RD/2016,19.04.2016,,04.11.2016
34096/RD/2016,19.04.2016,,04.11.2016
34105/RD/2016,19.04.2016,,04.11.2016
34114/RD/2016,19.04.2016,,30.09.2016
34126/RD/2016,19.04.2016,,30.09.2016
34214/RD/2016,19.04.2016,,30.09.2016
34220/RD/2016,19.04.2016,,22.02.2017
34230/RD/2016,19.04.2016,,22.02.2017
34237/RD/2016,19.04.2016,,30.09.2016
34295/RD/2016,19.04.2016,,22.02.2017
34301/RD/2016,19.04.2016,,31.10.2017
34307/RD/2016,19.04.2016,,22.02.2017
34313/RD/2016,19.04.2016,,11.10.2016
34334/RD/2016,19.04.2016,,12.10.2017
34339/RD/2016,19.04.2016,,11.10.2016
34344/RD/2016,19.04.2016,,11.10.2016
34380/RD/2016,19.04.2016,,11.10.2016
34387/RD/2016,19.04.2016,,11.10.2016
34396/RD/2016,19.04.2016,,11.10.2016
34403/RD/2016,19.04.2016,,30.09.2016
34413/RD/2016,19.04.2016,,30.09.2016
34419/RD/2016,19.04.2016,,11.10.2016
34426/RD/2016,19.04.2016,,30.09.2016
34433/RD/2016,19.04.2016,,30.09.2016
34439/RD/2016,19.04.2016,,30.09.2016
34444/RD/2016,19.04.2016,,30.09.2016
34555/RD/2016,20.04.2016,,11.10.2016
34561/RD/2016,20.04.2016,,11.10.2016
34567/RD/2016,20.04.2016,,11.10.2016
34604/RD/2016,20.04.2016,06.05.2021,
34611/RD/2016,20.04.2016,,30.12.2020
34670/RD/2016,20.04.2016,,11.10.2016
35160/RD/2016,21.04.2016,,16.02.2017
35497/RD/2016,22.04.2016,,11.10.2016
35564/RD/2016,22.04.2016,,11.10.2016
35577/RD/2016,22.04.2016,,30.09.2016
35584/RD/2016,22.04.2016,,30.09.2016
35602/RD/2016,22.04.2016,,30.09.2016
35623/RD/2016,22.04.2016,,30.09.2016
35696/RD/2016,22.04.2016,,30.09.2016
35701/RD/2016,22.04.2016,,30.09.2016
35707/RD/2016,22.04.2016,,29.09.2017
35712/RD/2016,22.04.2016,,30.09.2016
35717/RD/2016,22.04.2016,,16.02.2017
35718/RD/2016,22.04.2016,,30.09.2016
35723/RD/2016,22.04.2016,,22.02.2017
35726/RD/2016,22.04.2016,,30.09.2016
35732/RD/2016,22.04.2016,,30.09.2016
36001/RD/2016,25.04.2016,19.01.2017,
36190/RD/2016,25.04.2016,,04.11.2016
36723/RD/2016,26.04.2016,,22.02.2017
36732/RD/2016,26.04.2016,,04.11.2016
36738/RD/2016,26.04.2016,,04.11.2016
36742/RD/2016,26.04.2016,,04.11.2016
36747/RD/2016,26.04.2016,,04.11.2016
36750/RD/2016,26.04.2016,,04.11.2016
36761/RD/2016,26.04.2016,,22.02.2017
36763/RD/2016,26.04.2016,,07.04.2017
36782/RD/2016,26.04.2016,,04.11.2016
36787/RD/2016,26.04.2016,,04.11.2016
36797/RD/2016,26.04.2016,,11.10.2016
36801/RD/2016,26.04.2016,,11.10.2016
36811/RD/2016,26.04.2016,,11.10.2016
36817/RD/2016,26.04.2016,,11.10.2016
36820/RD/2016,26.04.2016,,11.10.2016
36825/RD/2016,26.04.2016,,11.10.2016
36830/RD/2016,26.04.2016,,11.10.2016
36913/RD/2016,26.04.2016,,11.10.2016
36918/RD/2016,26.04.2016,,11.10.2016
36924/RD/2016,26.04.2016,,22.02.2017
36931/RD/2016,26.04.2016,,04.11.2016
36936/RD/2016,26.04.2016,,04.11.2016
36941/RD/2016,26.04.2016,,04.11.2016
36945/RD/2016,26.04.2016,,04.11.2016
36949/RD/2016,26.04.2016,,04.11.2016
36956/RD/2016,26.04.2016,,04.11.2016
36964/RD/2016,26.04.2016,,04.11.2016
37280/RD/2016,27.04.2016,,02.03.2018
37429/RD/2016,27.04.2016,,04.11.2016
38417/RD/2016,03.05.2016,,04.11.2016
38424/RD/2016,03.05.2016,,27.01.2017
38428/RD/2016,03.05.2016,,04.11.2016
38431/RD/2016,03.05.2016,,04.11.2016
38438/RD/2016,03.05.2016,,04.11.2016
38443/RD/2016,03.05.2016,,04.11.2016
38447/RD/2016,03.05.2016,,04.11.2016
38484/RD/2016,03.05.2016,,04.11.2016
38486/RD/2016,03.05.2016,,04.11.2016
38489/RD/2016,03.05.2016,,31.01.2017
38534/RD/2016,03.05.2016,,30.09.2016
38537/RD/2016,03.05.2016,,30.09.2016
38539/RD/2016,03.05.2016,,30.09.2016
38544/RD/2016,03.05.2016,,30.09.2016
38545/RD/2016,03.05.2016,,25.05.2017
39398/RD/2016,05.05.2016,,07.04.2017
39480/RD/2016,05.05.2016,,07.04.2017
39694/RD/2016,06.05.2016,,18.11.2016
39696/RD/2016,06.05.2016,,18.11.2016
39699/RD/2016,06.05.2016,,18.11.2016
39704/RD/2016,06.05.2016,,18.11.2016
39706/RD/2016,06.05.2016,,18.11.2016
39709/RD/2016,06.05.2016,,07.04.2017
39712/RD/2016,06.05.2016,,18.11.2016
39715/RD/2016,06.05.2016,,18.11.2016
40078/RD/2016,09.05.2016,,07.04.2017
40084/RD/2016,09.05.2016,,18.11.2016
40091/RD/2016,09.05.2016,,06.02.2020
40093/RD/2016,09.05.2016,,18.11.2016
40094/RD/2016,09.05.2016,,18.11.2016
40098/RD/2016,09.05.2016,,03.08.2017
40102/RD/2016,09.05.2016,,03.08.2017
40104/RD/2016,09.05.2016,,18.11.2016
40107/RD/2016,09.05.2016,,07.04.2017
40112/RD/2016,09.05.2016,,07.04.2017
40116/RD/2016,09.05.2016,,18.11.2016
40237/RD/2016,10.05.2016,,07.04.2017
40317/RD/2016,10.05.2016,,18.11.2016
40323/RD/2016,10.05.2016,,18.11.2016
40331/RD/2016,10.05.2016,,18.11.2016
40336/RD/2016,10.05.2016,,18.11.2016
40344/RD/2016,10.05.2016,,07.04.2017
40360/RD/2016,10.05.2016,,18.11.2016
40368/RD/2016,10.05.2016,,18.11.2016
40376/RD/2016,10.05.2016,,07.04.2017
40381/RD/2016,10.05.2016,,18.11.2016
40889/RD/2016,11.05.2016,,22.02.2018
41350/RD/2016,12.05.2016,,18.11.2016
42251/RD/2016,13.05.2016,,25.05.2017
42872/RD/2016,17.05.2016,,27.11.2017
42881/RD/2016,17.05.2016,,27.11.2017
42936/RD/2016,17.05.2016,,18.11.2016
43387/RD/2016,18.05.2016,,27.11.2017
43429/RD/2016,18.05.2016,,18.11.2016
43624/RD/2016,18.05.2016,,04.05.2017
43712/RD/2016,18.05.2016,,20.01.2017
43808/RD/2016,18.05.2016,,04.05.2017
44117/RD/2016,19.05.2016,,20.01.2017
44695/RD/2016,20.05.2016,,30.07.2019
44822/RD/2016,20.05.2016,,04.05.2017
44826/RD/2016,20.05.2016,,04.05.2017
44829/RD/2016,20.05.2016,,04.05.2017
44837/RD/2016,20.05.2016,,20.01.2017
44844/RD/2016,20.05.2016,,20.01.2017
44850/RD/2016,20.05.2016,,20.01.2017
44859/RD/2016,20.05.2016,,04.05.2017
45238/RD/2016,23.05.2016,,04.05.2017
45247/RD/2016,23.05.2016,,04.05.2017
45254/RD/2016,23.05.2016,,04.05.2017
45276/RD/2016,23.05.2016,,20.01.2017
45481/RD/2016,23.05.2016,,20.01.2017
45771/RD/2016,24.05.2016,,20.01.2017
45813/RD/2016,24.05.2016,,20.01.2017
45822/RD/2016,24.05.2016,,04.05.2017
45860/RD/2016,24.05.2016,,14.11.2016
45865/RD/2016,24.05.2016,,14.11.2016
45872/RD/2016,24.05.2016,,14.11.2016
45878/RD/2016,24.05.2016,,14.11.2016
45897/RD/2016,24.05.2016,,14.11.2016
45904/RD/2016,24.05.2016,,14.11.2016
45914/RD/2016,24.05.2016,,14.11.2016
46044/RD/2016,24.05.2016,,14.11.2016
46048/RD/2016,24.05.2016,,14.11.2016
46053/RD/2016,24.05.2016,,14.11.2016
46062/RD/2016,24.05.2016,,14.11.2016
46070/RD/2016,24.05.2016,,25.05.2017
46080/RD/2016,24.05.2016,,14.11.2016
46124/RD/2016,24.05.2016,,14.11.2016
46129/RD/2016,24.05.2016,,14.11.2016
46331/RD/2016,25.05.2016,,14.11.2016
46381/RD/2016,25.05.2016,,14.11.2016
46387/RD/2016,25.05.2016,,14.11.2016
46395/RD/2016,25.05.2016,,14.11.2016
46548/RD/2016,25.05.2016,,14.11.2016
46636/RD/2016,25.05.2016,,02.11.2017
46892/RD/2016,26.05.2016,,31.01.2017
47260/RD/2016,26.05.2016,,31.01.2017
47690/RD/2016,27.05.2016,,31.01.2017
47694/RD/2016,27.05.2016,,27.11.2017
47699/RD/2016,27.05.2016,,31.01.2017
47706/RD/2016,27.05.2016,,27.11.2017
47712/RD/2016,27.05.2016,,31.01.2017
47720/RD/2016,27.05.2016,,31.01.2017
47729/RD/2016,27.05.2016,,31.01.2017
47796/RD/2016,27.05.2016,,31.01.2017
47804/RD/2016,27.05.2016,,31.01.2017
47809/RD/2016,27.05.2016,,31.01.2017
47821/RD/2016,27.05.2016,,31.01.2017
47829/RD/2016,27.05.2016,,27.11.2017
47833/RD/2016,27.05.2016,,31.01.2017
47839/RD/2016,27.05.2016,,31.01.2017
47843/RD/2016,27.05.2016,,31.01.2017
47846/RD/2016,27.05.2016,,31.01.2017
48005/RD/2016,30.05.2016,,31.01.2017
48115/RD/2016,30.05.2016,,31.01.2017
48183/RD/2016,30.05.2016,,14.11.2016
48191/RD/2016,30.05.2016,,14.11.2016
48550/RD/2016,31.05.2016,,07.04.2017
48559/RD/2016,31.05.2016,,14.11.2016
48562/RD/2016,31.05.2016,03.11.2016,
48578/RD/2016,31.05.2016,,14.11.2016
48584/RD/2016,31.05.2016,,14.11.2016
48588/RD/2016,31.05.2016,,14.11.2016
48595/RD/2016,31.05.2016,,25.05.2017
48600/RD/2016,31.05.2016,,14.11.2016
48614/RD/2016,31.05.2016,,14.11.2016
48627/RD/2016,31.05.2016,,14.11.2016
48639/RD/2016,31.05.2016,,14.11.2016
48643/RD/2016,31.05.2016,,03.08.2017
48645/RD/2016,31.05.2016,,14.11.2016
48659/RD/2016,31.05.2016,,10.04.2018
48691/RD/2016,31.05.2016,,07.04.2017
48707/RD/2016,31.05.2016,,14.11.2016
48710/RD/2016,31.05.2016,,08.12.2016
48713/RD/2016,31.05.2016,,08.12.2016
48715/RD/2016,31.05.2016,,08.12.2016
48720/RD/2016,31.05.2016,,08.12.2016
48725/RD/2016,31.05.2016,,08.12.2016
48734/RD/2016,31.05.2016,,08.12.2016
48736/RD/2016,31.05.2016,,08.12.2016
48743/RD/2016,31.05.2016,,08.12.2016
48759/RD/2016,31.05.2016,,08.12.2016
48762/RD/2016,31.05.2016,,08.12.2016
48765/RD/2016,31.05.2016,,08.12.2016
48771/RD/2016,31.05.2016,,08.12.2016
48778/RD/2016,31.05.2016,,08.12.2016
48782/RD/2016,31.05.2016,,08.12.2016
48786/RD/2016,31.05.2016,,08.12.2016
48794/RD/2016,31.05.2016,,08.12.2016
48821/RD/2016,31.05.2016,,08.12.2016
48825/RD/2016,31.05.2016,,08.12.2016
48831/RD/2016,31.05.2016,,08.12.2016
48832/RD/2016,31.05.2016,,08.12.2016
48835/RD/2016,31.05.2016,,18.11.2016
48837/RD/2016,31.05.2016,,19.07.2018
48845/RD/2016,31.05.2016,,18.11.2016
48849/RD/2016,31.05.2016,,18.11.2016
48853/RD/2016,31.05.2016,,18.11.2016
48857/RD/2016,31.05.2016,,18.11.2016
48859/RD/2016,31.05.2016,,18.11.2016
48864/RD/2016,31.05.2016,,18.11.2016
48866/RD/2016,31.05.2016,,18.11.2016
48874/RD/2016,31.05.2016,,18.11.2016
48880/RD/2016,31.05.2016,,18.11.2016
48881/RD/2016,31.05.2016,,18.11.2016
48887/RD/2016,31.05.2016,,18.11.2016
48888/RD/2016,31.05.2016,,18.11.2016
48891/RD/2016,31.05.2016,,18.11.2016
48898/RD/2016,31.05.2016,,27.11.2017
49047/RD/2016,01.06.2016,,20.01.2017
